,Summary,Price,Brand,Condition,Category,Site
51,"sold  sep 16, 2019lululemon knot gonna fly tee hood modern stripe heathered black size 2",29.99,lululemon,PreOwned,tops,eBay
52,"sold  sep 16, 2019lululemon core shorts men’s medium",34.00,lululemon,PreOwned,bottoms,eBay
53,"sold  sep 16, 2019lululemon 10-sculpt tank ii- black",25.50,lululemon,PreOwned,tops,eBay
54,"sold  sep 16, 2019lululemon olive green joggers - size large - barely worn! (retail $128)",44.00,lululemon,PreOwned,other,eBay
55,"sold  sep 16, 2019lululemon first mile tech tight fleece cold weather leggings black sz 8",59.99,lululemon,PreOwned,bottoms,eBay
56,"sold  sep 16, 2019mens lululemon black pullover crew sweater sz l",40.49,lululemon,PreOwned,outerwear,eBay
57,"sold  sep 16, 2019lululemon shorts mens small good condition",35.76,lululemon,PreOwned,bottoms,eBay
58,"sold  sep 16, 2019lululemon tank & bra 2 white scrappy back",5.20,lululemon,PreOwned,tops,eBay
59,"sold  sep 16, 2019lululemon hooded work out track jacket thumb holes size 10 ",44.99,lululemon,PreOwned,outerwear,eBay
60,"sold  sep 16, 2019lululemon women’s black short sz 2",14.00,lululemon,PreOwned,bottoms,eBay
61,"sold  sep 16, 2019lululemon capri leggings gray grey sz 2",23.50,lululemon,PreOwned,bottoms,eBay
62,"sold  sep 16, 2019lululemon run pacesetter skirt sz 6 cadet blue stripe pace setter skort",43.16,lululemon,PreOwned,bottoms,eBay
63,"sold  sep 16, 2019lululemon awareness wrap hoodie jacket black w/ purple dip dye lining sz 4 rare",54.99,lululemon,PreOwned,outerwear,eBay
64,"sold  sep 16, 2019lululemon wunder under cropped leggings black womens size 8",39.99,lululemon,PreOwned,bottoms,eBay
65,"sold  sep 16, 2019mint worn 2x men's lululemon free style polo light blue golf size x large xl",25.99,lululemon,PreOwned,other,eBay
66,"sold  sep 16, 2019sale! lululemon dynamic black & purple tank top womens size 8 yoga fitness",19.99,lululemon,PreOwned,tops,eBay
67,"sold  sep 16, 2019lululemon women’s red short sz 4",33.00,lululemon,PreOwned,bottoms,eBay
68,"sold  sep 16, 2019lululemon classic solid black tee athletic tee shirt size 4 lightweight ",19.99,lululemon,PreOwned,tops,eBay
69,"sold  sep 16, 2019lululemon 6 zip up jacket ,blackish, thumbholes, front zip pockets",35.00,lululemon,PreOwned,outerwear,eBay
70,"sold  sep 16, 2019lululemon womens size 8 seawheeze 2013 tracker shorts multicolored plaid",50.00,lululemon,PreOwned,bottoms,eBay
71,"sold  sep 16, 2019womens lululemon size 4 pants gray euc",26.00,lululemon,PreOwned,bottoms,eBay
72,"sold  sep 16, 2019lululemon speed short mind over miles women's shorts white size 2",22.99,lululemon,PreOwned,bottoms,eBay
73,"sold  sep 16, 2019lululemon ripple effect tank side-cinched sz 2 heathered dusty dawn purple",24.70,lululemon,PreOwned,tops,eBay
74,"sold  sep 16, 2019lululemon women’s speed up shorts 2.5” sz4",27.00,lululemon,PreOwned,bottoms,eBay
