,Summary,Price,Brand,Condition,Category,Site
107,"sold  sep 15, 2019nwt new reformation crimini slipdress in size 10 ",75.00,Reformation,New,dresses,eBay
108,"sold  sep 15, 2019reformation zoe side slit midi skirt bebe size 6 sold out",140.00,Reformation,New,bottoms,eBay
109,"sold  sep 15, 2019new reformation lilah mini dress size small cap sleeve sheath keyhole 5248",79.99,Reformation,New,dresses,eBay
110,"sold  sep 15, 2019reformation kealy midi dress size 10 blue floral current nwt $218",115.00,Reformation,New,dresses,eBay
111,"sold  sep 15, 2019$200 reformation eileen stripe midi linen dress size 6",149.99,Reformation,New,dresses,eBay
112,"sold  sep 15, 2019reformation women’s bryce 29 ginger cut off relaxed jean shorts new nwt blue",59.99,Reformation,New,bottoms,eBay
113,"sold  sep 15, 2019reformation womens lexi lace up sleeveless square neck denim blouse blue size 4",32.00,Reformation,New,other,eBay
114,"sold  sep 15, 2019reformation black women's size 2 floral vanessa long sleeve dress, nwt!",149.99,Reformation,New,dresses,eBay
115,"sold  sep 15, 2019brand new reformation midi dress. blue. unworn with tags. uk- xs/ us- 0/ eu- 32",124.59,Reformation,New,bras,eBay
116,"sold  sep 15, 2019nwt reformation bridgette bodysuit small brandy melville faithfull",28.00,Reformation,New,bras,eBay
117,"sold  sep 15, 2019nwt reformation rose romper 6 jumpsuit linen christy dawn style",112.00,Reformation,New,jumpsuits,eBay
118,"sold  sep 15, 2019reformation britten dress",150.00,Reformation,New,dresses,eBay
119,"sold  sep 15, 2019reformation emmie lace trim linen camisole white m nwt $52",15.00,Reformation,New,other,eBay
120,"sold  sep 15, 2019reformation persimmon dress, size 4, red/white, perfect condition",54.00,Reformation,New,dresses,eBay
121,"sold  sep 15, 2019nwot reformation bruno dress 2 xs s as seen on lily aldridge and christy dawn",65.00,Reformation,New,dresses,eBay
122,"sold  sep 15, 2019stunning reformation 'heidi' floral midi dress bell sleeve 70s us 0/2 uk 4/6 xs",74.75,Reformation,New,dresses,eBay
123,"sold  sep 15, 2019nwt reformation lou dress small emerald green",89.00,Reformation,New,dresses,eBay
124,"sold  sep 15, 2019nwt reformation jeans black lou dress s",75.00,Reformation,New,bottoms,eBay
125,"sold  sep 15, 2019reformation gisele top",34.99,Reformation,New,tops,eBay
126,"sold  sep 15, 2019reformation bermuda dress size l",38.00,Reformation,New,dresses,eBay
127,"sold  sep 15, 2019reformation tori dress size 12",42.00,Reformation,New,dresses,eBay
128,"sold  sep 15, 2019nwt reformation marci dress in blush pink flare bottom size small $118.00",98.00,Reformation,New,dresses,eBay
129,"sold  sep 15, 2019reformation stevie minidress in ansel size 0",60.00,Reformation,New,dresses,eBay
130,"sold  sep 15, 2019reformation 'barton' wool coat, camel, current season --  xs",299.99,Reformation,New,outerwear,eBay
131,"sold  sep 15, 2019nwt reformation marine jean white high rise wide cropped legs sz 25",89.99,Reformation,New,bottoms,eBay
132,"sold  sep 15, 2019reformation serengeti yellow linen midi dress w/ belt nwot size 8",69.00,Reformation,New,dresses,eBay
133,"sold  sep 15, 2019reformation body con stylish size 8 / xs stunning 80s dress vintage look",26.16,Reformation,New,dresses,eBay
134,"sold  sep 15, 2019reformation red & black velvet onyx dress",100.00,Reformation,New,dresses,eBay
135,"sold  sep 15, 2019brand new reformation alma midi dress leopard sz 2 nwt $218",140.00,Reformation,New,bras,eBay
136,"sold  sep 15, 2019reformation liza dress size 4 silk nwt",100.00,Reformation,New,dresses,eBay
137,"sold  sep 14, 2019nwt reformation black caressa dress small sold out fast",65.00,Reformation,New,dresses,eBay
138,"sold  sep 14, 2019nwt reformation nelly high neck mock top ribbed knit red fitted size xs",35.00,Reformation,New,tops,eBay
