,Summary,Price,Size,Brand,Condition,Category,Site
76,"reformation maxine white linen mini dress, size 10",200,10,Reformation,PreOwned,dresses,Poshmark
77,nwt reformation black spacey maxi sheer dress,89,S,Reformation,New,dresses,Poshmark
78,reformation thelma dress nwot size 6,145,6,Reformation,New,dresses,Poshmark
79,reformation shirley dress,75,XS,Reformation,PreOwned,dresses,Poshmark
80,reformation badlands jean jacket nwt,65,M,Reformation,New,outerwear,Poshmark
81,reformation | urban renewal clay mini shift dress,39,S,Reformation,New,dresses,Poshmark
82,nwt reformation maurie dress in aubergine size l,89,L,Reformation,New,dresses,Poshmark
83,reformation vintage soft leather shearling coat,112,S,Reformation,PreOwned,outerwear,Poshmark
84,reformation cory high waisted black skinny jeans,55,28,Reformation,PreOwned,bottoms,Poshmark
85,reformation sunset cap sleeve mini dress in iris,160,0,Reformation,PreOwned,dresses,Poshmark
86,reformation green cropped oversized t-shirt,30,L,Reformation,PreOwned,tops,Poshmark
87,reformation sydney dress size 12  navy blue mini,95,12,Reformation,PreOwned,dresses,Poshmark
88,nwt reformation fit flare lou midi dress,95,S,Reformation,New,dresses,Poshmark
89,reformation aida button down mini dress ochre xl,98,XL,Reformation,PreOwned,dresses,Poshmark
90,reformation purple lace up tunic shirt blouse,75,XXS,Reformation,PreOwned,tops,Poshmark
91,reformation maurita dress,125,0,Reformation,PreOwned,dresses,Poshmark
92,reformation petite raquel dress,100,2,Reformation,PreOwned,dresses,Poshmark
93,reformation sheer navy blue maxi dress - nwt,185,M,Reformation,New,dresses,Poshmark
94,7 pcs summer dresses bundle (pls read description),60,S,Reformation,PreOwned,dresses,Poshmark
95,reformation pants stripe noble,54,6,Reformation,PreOwned,bottoms,Poshmark
96,reformation maurita dress,125,0,Reformation,PreOwned,dresses,Poshmark
97,reformation chocolate velvet maxi dress m b3,150,M,Reformation,PreOwned,dresses,Poshmark
98,reformation hattie off the shoulder  dress b502,165,0,Reformation,PreOwned,dresses,Poshmark
99,reformation tank maxi red dress size large,65,L,Reformation,PreOwned,tops,Poshmark
100,reformation off-shoulder long sleeve,30,XS,Reformation,PreOwned,other,Poshmark
101,reformation linen set,98,XS,Reformation,PreOwned,other,Poshmark
102,nwt reformation britta dress,180,4,Reformation,New,dresses,Poshmark
103,reformation gilda green jumpsuit,135,10,Reformation,PreOwned,jumpsuits,Poshmark
104,reformation serena melbourne destroyed jeans,61,29,Reformation,PreOwned,bottoms,Poshmark
105,reformation floral button down dress size 0,125,0,Reformation,PreOwned,dresses,Poshmark
106,reformation off the shoulder dress!,85,0,Reformation,PreOwned,dresses,Poshmark
107,reformation marina blue jumpsuit size 6b704,150,6,Reformation,PreOwned,jumpsuits,Poshmark
108,reformation chamomile maxi wrap dress,250,L,Reformation,PreOwned,dresses,Poshmark
109,reformation radford metallic dress large,75,L,Reformation,PreOwned,dresses,Poshmark
110,diane von furstenberg gennifer two linen pants new,40,2,Reformation,New,bottoms,Poshmark
111,reformation julia crop high cigarette jean,99,31,Reformation,PreOwned,bottoms,Poshmark
112,reformation black molly jumpsuit,184,4,Reformation,PreOwned,jumpsuits,Poshmark
113,reformation green peach midi dress,149,8,Reformation,PreOwned,dresses,Poshmark
114,reformation red gingham mini skirt size 0,50,0,Reformation,PreOwned,bottoms,Poshmark
115,reformation ribbed mock neck 3/4 sleeve tee,20,L,Reformation,PreOwned,tops,Poshmark
116,nwt reformation cherry linen mini ots dress,95,S,Reformation,New,dresses,Poshmark
117,reformation olive green long sleeve wrap midi dres,100,S,Reformation,PreOwned,other,Poshmark
118,reformation navy blue halter evening gown,175,4,Reformation,PreOwned,other,Poshmark
119,reformation radford black metallic dress,109,S,Reformation,PreOwned,dresses,Poshmark
120,reformation wide leg pants,75,8,Reformation,PreOwned,bottoms,Poshmark
121,reformation jeans jordan kick flare size 30,75,30,Reformation,PreOwned,bottoms,Poshmark
122,reformation | high rise cropped cigarette jeans,95,29,Reformation,PreOwned,bottoms,Poshmark
123,reformation roper valley plaid jean size 29 b415,85,29,Reformation,PreOwned,other,Poshmark
124,reformation perry jean open leg black b628 nwot,95,27,Reformation,New,other,Poshmark
125,reformation poppy dress navy,259,0,Reformation,PreOwned,dresses,Poshmark
126,reformation domingo dress in black,165,0,Reformation,PreOwned,dresses,Poshmark
127,"reformation maxine white linen mini dress, size 10",200,10,Reformation,PreOwned,dresses,Poshmark
128,nwt reformation black spacey maxi sheer dress,89,S,Reformation,New,dresses,Poshmark
129,reformation thelma dress nwot size 6,145,6,Reformation,New,dresses,Poshmark
130,reformation shirley dress,75,XS,Reformation,PreOwned,dresses,Poshmark
131,reformation badlands jean jacket nwt,65,M,Reformation,New,outerwear,Poshmark
132,reformation | urban renewal clay mini shift dress,39,S,Reformation,New,dresses,Poshmark
133,nwt reformation maurie dress in aubergine size l,89,L,Reformation,New,dresses,Poshmark
134,reformation vintage soft leather shearling coat,112,S,Reformation,PreOwned,outerwear,Poshmark
135,reformation cory high waisted black skinny jeans,55,28,Reformation,PreOwned,bottoms,Poshmark
136,reformation sunset cap sleeve mini dress in iris,160,0,Reformation,PreOwned,dresses,Poshmark
137,reformation green cropped oversized t-shirt,30,L,Reformation,PreOwned,tops,Poshmark
138,reformation sydney dress size 12  navy blue mini,95,12,Reformation,PreOwned,dresses,Poshmark
139,nwt reformation fit flare lou midi dress,95,S,Reformation,New,dresses,Poshmark
140,reformation aida button down mini dress ochre xl,98,XL,Reformation,PreOwned,dresses,Poshmark
141,reformation purple lace up tunic shirt blouse,75,XXS,Reformation,PreOwned,tops,Poshmark
142,reformation petite raquel dress,100,2,Reformation,PreOwned,dresses,Poshmark
143,reformation sheer navy blue maxi dress - nwt,185,M,Reformation,New,dresses,Poshmark
144,reformation maurita dress,125,0,Reformation,PreOwned,dresses,Poshmark
145,reformation chocolate velvet maxi dress m b3,150,M,Reformation,PreOwned,dresses,Poshmark
146,reformation hattie off the shoulder  dress b502,165,0,Reformation,PreOwned,dresses,Poshmark
147,reformation tank maxi red dress size large,65,L,Reformation,PreOwned,tops,Poshmark
148,reformation off-shoulder long sleeve,30,XS,Reformation,PreOwned,other,Poshmark
149,reformation linen set,98,XS,Reformation,PreOwned,other,Poshmark
150,nwt reformation britta dress,180,4,Reformation,New,dresses,Poshmark
151,reformation gilda green jumpsuit,135,10,Reformation,PreOwned,jumpsuits,Poshmark
152,reformation serena melbourne destroyed jeans,61,29,Reformation,PreOwned,bottoms,Poshmark
153,reformation floral button down dress size 0,125,0,Reformation,PreOwned,dresses,Poshmark
154,reformation off the shoulder dress!,85,0,Reformation,PreOwned,dresses,Poshmark
155,reformation marina blue jumpsuit size 6b704,150,6,Reformation,PreOwned,jumpsuits,Poshmark
156,reformation chamomile maxi wrap dress,250,L,Reformation,PreOwned,dresses,Poshmark
157,reformation radford metallic dress large,75,L,Reformation,PreOwned,dresses,Poshmark
158,diane von furstenberg gennifer two linen pants new,40,2,Reformation,New,bottoms,Poshmark
159,reformation julia crop high cigarette jean,99,31,Reformation,PreOwned,bottoms,Poshmark
160,reformation black molly jumpsuit,184,4,Reformation,PreOwned,jumpsuits,Poshmark
161,reformation green peach midi dress,149,8,Reformation,PreOwned,dresses,Poshmark
162,reformation red gingham mini skirt size 0,50,0,Reformation,PreOwned,bottoms,Poshmark
163,reformation ribbed mock neck 3/4 sleeve tee,20,L,Reformation,PreOwned,tops,Poshmark
164,nwt reformation cherry linen mini ots dress,95,S,Reformation,New,dresses,Poshmark
165,reformation olive green long sleeve wrap midi dres,100,S,Reformation,PreOwned,other,Poshmark
166,reformation navy blue halter evening gown,175,4,Reformation,PreOwned,other,Poshmark
167,reformation radford black metallic dress,109,S,Reformation,PreOwned,dresses,Poshmark
168,reformation wide leg pants,75,8,Reformation,PreOwned,bottoms,Poshmark
169,reformation jeans jordan kick flare size 30,75,30,Reformation,PreOwned,bottoms,Poshmark
170,reformation | high rise cropped cigarette jeans,95,29,Reformation,PreOwned,bottoms,Poshmark
171,reformation roper valley plaid jean size 29 b415,85,29,Reformation,PreOwned,other,Poshmark
172,reformation perry jean open leg black b628 nwot,95,27,Reformation,New,other,Poshmark
173,reformation poppy dress navy,259,0,Reformation,PreOwned,dresses,Poshmark
174,reformation domingo dress in black,165,0,Reformation,PreOwned,dresses,Poshmark
175,"reformation maxine white linen mini dress, size 10",200,10,Reformation,PreOwned,dresses,Poshmark
176,nwt reformation black spacey maxi sheer dress,89,S,Reformation,New,dresses,Poshmark
177,reformation thelma dress nwot size 6,145,6,Reformation,New,dresses,Poshmark
178,reformation shirley dress,75,XS,Reformation,PreOwned,dresses,Poshmark
179,reformation badlands jean jacket nwt,65,M,Reformation,New,outerwear,Poshmark
180,reformation | urban renewal clay mini shift dress,39,S,Reformation,New,dresses,Poshmark
181,nwt reformation maurie dress in aubergine size l,89,L,Reformation,New,dresses,Poshmark
182,reformation vintage soft leather shearling coat,112,S,Reformation,PreOwned,outerwear,Poshmark
183,reformation cory high waisted black skinny jeans,55,28,Reformation,PreOwned,bottoms,Poshmark
184,reformation sunset cap sleeve mini dress in iris,160,0,Reformation,PreOwned,dresses,Poshmark
185,reformation green cropped oversized t-shirt,30,L,Reformation,PreOwned,tops,Poshmark
186,reformation sydney dress size 12  navy blue mini,95,12,Reformation,PreOwned,dresses,Poshmark
187,nwt reformation fit flare lou midi dress,95,S,Reformation,New,dresses,Poshmark
188,reformation aida button down mini dress ochre xl,98,XL,Reformation,PreOwned,dresses,Poshmark
189,reformation purple lace up tunic shirt blouse,75,XXS,Reformation,PreOwned,tops,Poshmark
190,reformation petite raquel dress,100,2,Reformation,PreOwned,dresses,Poshmark
191,reformation sheer navy blue maxi dress - nwt,185,M,Reformation,New,dresses,Poshmark
192,reformation maurita dress,125,0,Reformation,PreOwned,dresses,Poshmark
193,reformation chocolate velvet maxi dress m b3,150,M,Reformation,PreOwned,dresses,Poshmark
194,reformation hattie off the shoulder  dress b502,165,0,Reformation,PreOwned,dresses,Poshmark
195,reformation tank maxi red dress size large,65,L,Reformation,PreOwned,tops,Poshmark
196,reformation off-shoulder long sleeve,30,XS,Reformation,PreOwned,other,Poshmark
197,reformation linen set,98,XS,Reformation,PreOwned,other,Poshmark
198,nwt reformation britta dress,180,4,Reformation,New,dresses,Poshmark
199,reformation gilda green jumpsuit,135,10,Reformation,PreOwned,jumpsuits,Poshmark
200,reformation serena melbourne destroyed jeans,61,29,Reformation,PreOwned,bottoms,Poshmark
201,reformation floral button down dress size 0,125,0,Reformation,PreOwned,dresses,Poshmark
202,reformation off the shoulder dress!,85,0,Reformation,PreOwned,dresses,Poshmark
203,reformation marina blue jumpsuit size 6b704,150,6,Reformation,PreOwned,jumpsuits,Poshmark
204,reformation chamomile maxi wrap dress,250,L,Reformation,PreOwned,dresses,Poshmark
205,reformation radford metallic dress large,75,L,Reformation,PreOwned,dresses,Poshmark
206,diane von furstenberg gennifer two linen pants new,40,2,Reformation,New,bottoms,Poshmark
207,reformation julia crop high cigarette jean,99,31,Reformation,PreOwned,bottoms,Poshmark
208,reformation black molly jumpsuit,184,4,Reformation,PreOwned,jumpsuits,Poshmark
209,reformation green peach midi dress,149,8,Reformation,PreOwned,dresses,Poshmark
210,reformation red gingham mini skirt size 0,50,0,Reformation,PreOwned,bottoms,Poshmark
211,reformation ribbed mock neck 3/4 sleeve tee,20,L,Reformation,PreOwned,tops,Poshmark
212,nwt reformation cherry linen mini ots dress,95,S,Reformation,New,dresses,Poshmark
213,reformation olive green long sleeve wrap midi dres,100,S,Reformation,PreOwned,other,Poshmark
214,reformation navy blue halter evening gown,175,4,Reformation,PreOwned,other,Poshmark
215,reformation radford black metallic dress,109,S,Reformation,PreOwned,dresses,Poshmark
216,reformation wide leg pants,75,8,Reformation,PreOwned,bottoms,Poshmark
217,reformation jeans jordan kick flare size 30,75,30,Reformation,PreOwned,bottoms,Poshmark
218,reformation | high rise cropped cigarette jeans,95,29,Reformation,PreOwned,bottoms,Poshmark
219,reformation roper valley plaid jean size 29 b415,85,29,Reformation,PreOwned,other,Poshmark
220,reformation perry jean open leg black b628 nwot,95,27,Reformation,New,other,Poshmark
221,reformation poppy dress navy,259,0,Reformation,PreOwned,dresses,Poshmark
222,reformation domingo dress in black,165,0,Reformation,PreOwned,dresses,Poshmark
223,"reformation maxine white linen mini dress, size 10",200,10,Reformation,PreOwned,dresses,Poshmark
224,nwt reformation black spacey maxi sheer dress,89,S,Reformation,New,dresses,Poshmark
225,reformation thelma dress nwot size 6,145,6,Reformation,New,dresses,Poshmark
226,reformation shirley dress,75,XS,Reformation,PreOwned,dresses,Poshmark
227,reformation badlands jean jacket nwt,65,M,Reformation,New,outerwear,Poshmark
228,reformation | urban renewal clay mini shift dress,39,S,Reformation,New,dresses,Poshmark
229,nwt reformation maurie dress in aubergine size l,89,L,Reformation,New,dresses,Poshmark
230,reformation vintage soft leather shearling coat,112,S,Reformation,PreOwned,outerwear,Poshmark
231,reformation cory high waisted black skinny jeans,55,28,Reformation,PreOwned,bottoms,Poshmark
232,reformation sunset cap sleeve mini dress in iris,160,0,Reformation,PreOwned,dresses,Poshmark
