,Summary,Price,Brand,Condition,Category,Site
54,"sold  sep 15, 2019reformation haven wrap maxi floral dress",59.00,Reformation,PreOwned,dresses,eBay
55,"sold  sep 15, 2019reformation cynthia high rise daisy embroidered rigid washed black jeans 26p",45.00,Reformation,PreOwned,bottoms,eBay
56,"sold  sep 15, 2019reformation mini dress pink linen size 0",19.00,Reformation,PreOwned,dresses,eBay
57,"sold  sep 15, 2019 reformation - sydney sweetheart minidress size 4 $218 retail blue",100.00,Reformation,PreOwned,dresses,eBay
58,"sold  sep 15, 2019reformation nikita dress size m/l size 10 ",175.00,Reformation,PreOwned,dresses,eBay
59,"sold  sep 15, 2019reformation womens v neck tie front velvet long sleeve blouse red size medium",29.99,Reformation,PreOwned,other,eBay
60,"sold  sep 15, 2019reformation grlfrnd pistola womens slim leg jeans grey medium wash size 27 lot 3",91.00,Reformation,PreOwned,bottoms,eBay
61,"sold  sep 15, 2019reformation frankie black playsuit size us8/uk12",24.92,Reformation,PreOwned,other,eBay
62,"sold  sep 15, 2019reformation silk camisole top size m",28.00,Reformation,PreOwned,tops,eBay
63,"sold  sep 15, 2019reformation black white striped long sleeve rib knit scoop neck top medium",45.99,Reformation,PreOwned,tops,eBay
64,"sold  sep 15, 2019reformation high & skinny jeans black denim-size 26",19.99,Reformation,PreOwned,bottoms,eBay
65,"sold  sep 15, 2019reformation long blue dress - size 4. uk8",17.44,Reformation,PreOwned,dresses,eBay
66,"sold  sep 15, 2019women's reformation v-neck black stripe shirt top long sleeve flax tencel sz m",17.99,Reformation,PreOwned,tops,eBay
67,"sold  sep 15, 2019reformation rooney striped dress size xs",60.00,Reformation,PreOwned,dresses,eBay
68,"sold  sep 15, 2019reformation reformed floral print maxi dress urban outfitters",18.69,Reformation,PreOwned,dresses,eBay
69,"sold  sep 15, 2019reformation silk dress",111.99,Reformation,PreOwned,dresses,eBay
70,"sold  sep 15, 2019reformation navy slub wrap crop top s 8",10.59,Reformation,PreOwned,tops,eBay
71,"sold  sep 15, 2019reformation super high waisted black slim trousers size 8",23.67,Reformation,PreOwned,other,eBay
72,"sold  sep 15, 2019reformation black red hibiscus 🌺 tropical floral wrap midi dress deep v s small",119.99,Reformation,PreOwned,dresses,eBay
73,"sold  sep 14, 2019reformation gray womens knit turtleneck sweater size medium",35.00,Reformation,PreOwned,outerwear,eBay
74,"sold  sep 14, 2019alternative reformation barneys new york womens sweater blouses size small lot 3",29.99,Reformation,PreOwned,outerwear,eBay
75,"sold  sep 14, 2019reformation siesta dress red small polka dot  midi smocked ",150.00,Reformation,PreOwned,dresses,eBay
76,"sold  sep 14, 2019levis get into trouble reformation redone jean denim",30.00,Reformation,PreOwned,other,eBay
77,"sold  sep 14, 2019reformation robinson dress us4 uk8 ",24.91,Reformation,PreOwned,dresses,eBay
